year,imd,sex,<1      ,1-4,5-9,10-14,15-19   ,20-24   ,25-29   ,30-34   ,35-39   ,40-44   ,45-49   ,50-54   ,55-59   ,60-64   ,65-69   ,70-74   ,75-79   ,80-84   ,85-89   ,90+     ,All Ages
2008,3,Male,39236,136863,150121,159774,175608,210776,225904,194049,197065,191566,168852,143107,131140,123795,93031,80688,62421,43225,22924,7631,2557776
2008,3,Female,37073,129842,143229,152307,173095,216343,225091,188931,192705,189515,169502,144481,133179,127623,100940,93352,84244,67940,48254,24273,2641919
2008,4,Male,35495,124604,140591,152540,172403,202051,209678,189190,196246,194817,174554,150786,141997,139001,104678,88083,69283,46367,25332,8572,2566268
2008,4,Female,33711,119613,133529,145652,166708,206657,207795,181609,191475,192012,175471,152698,144670,143957,112084,99589,89778,71910,51057,25921,2645896
2008,5,Male,32054,116364,136671,151086,164132,178590,188967,173396,189634,195719,180299,157128,151742,153738,114100,96508,75143,50431,27475,9459,2542636
2008,5,Female,30724,110886,130928,143946,157838,176683,185320,170296,189045,195626,182418,160412,155832,159369,121403,108696,95710,75963,54318,28130,2633543
2008,6,Male,30960,114659,136885,151027,158499,164819,175965,167805,190872,199896,185633,163645,158666,163317,120835,101792,79237,52568,28757,9964,2555801
2008,6,Female,30075,109452,131667,144537,152611,157800,174641,166188,191313,201044,187901,166652,163923,171016,127594,112440,98322,77926,55189,28797,2649088
2008,7,Male,29617,111440,136864,152396,163928,156334,159344,154969,186578,200549,188963,167353,163600,170612,122891,104971,81251,54000,28711,9842,2544213
2008,7,Female,27968,106262,130821,145055,154152,150958,155293,157733,189542,204985,192538,170780,169609,176976,131608,115273,98954,77695,55676,28968,2640846
2008,8,Male,29122,113039,139671,154192,162994,147694,151657,151440,186657,202549,190260,168117,164507,171700,123321,104572,81106,52840,28309,10040,2533787
2008,8,Female,27341,107649,132828,146868,153728,141563,147796,154865,190473,207568,194035,171490,170902,179147,131551,114667,98772,76780,53376,28060,2629459
2008,9,Male,28832,113865,145035,161100,169077,142055,137201,142649,186186,206193,195046,172866,166452,174715,123643,105352,83009,54612,28091,10009,2545988
2008,9,Female,27082,108389,137999,153242,158323,129086,132580,148894,193655,212220,200568,174884,173726,182508,132579,116165,99182,76615,52554,27143,2637394
2008,10,Male,26904,115549,154138,170686,165854,123439,111639,124871,177360,206801,202044,177853,168540,176301,122730,105731,84150,55084,28454,9998,2508126
2008,10,Female,25944,109857,147220,162797,158112,112121,108982,134589,189682,219494,208281,179865,175952,183454,131754,117234,98833,74918,49185,25179,2613453
2009,1,Male,46790,173705,183788,185480,188122,197155,207515,182739,181108,180394,165196,141023,125527,116259,88976,76326,56956,37428,19047,6641,2560175
2009,1,Female,44454,166642,175384,176805,183679,221199,222085,178846,180900,180370,165687,140007,121636,114983,92855,87578,75335,59842,40534,20513,2649334
2009,2,Male,42657,157108,167441,171930,183061,201707,220235,194891,190843,188789,169323,142303,123894,117029,88758,76123,58213,39728,21568,7454,2563055
2009,2,Female,40921,150710,160592,164177,179815,217004,230800,192831,190851,190521,172336,142591,124683,120372,95991,88468,78022,63575,44892,22478,2671630
2009,3,Male,38813,143156,151080,158867,177228,209483,229441,200836,194498,192421,174337,147122,131214,126748,95084,81697,62465,42980,23253,8188,2588911
2009,3,Female,37352,136026,144139,151875,174436,217789,229639,193518,190202,190629,174915,148036,132671,130721,102670,93937,82619,67008,48158,24787,2671127
2009,4,Male,35423,129785,140927,151768,172651,202764,213003,194358,193246,195512,179605,154891,141120,141650,107878,89971,69344,47158,25485,9086,2595625
2009,4,Female,33798,124693,134512,145243,167076,207385,211607,185336,188563,192582,179723,155856,143886,147174,114883,100725,88545,71447,51092,26456,2670582
2009,5,Male,32570,120546,137190,150119,164871,178415,189956,177453,185257,195212,184822,160687,149684,156921,118492,98521,75893,51253,27830,10118,2565810
2009,5,Female,30790,115547,130787,143150,158224,178737,188521,172447,185397,195496,186978,163565,154999,162153,125233,110242,95142,75869,54586,28758,2656621
2009,6,Male,31596,118453,137258,150463,159450,164619,176511,170312,186743,199088,190483,167206,156092,166427,125633,104093,79939,53943,29303,10674,2578286
2009,6,Female,29843,113613,130752,143179,153394,159580,175981,167254,187746,200615,192884,169844,162083,173614,132690,114573,97874,78350,56013,29509,2669391
2009,7,Male,28892,114445,136194,151245,164654,155745,159240,155213,180874,199546,193334,170519,160928,173178,128358,107777,82423,55577,29528,10587,2558257
2009,7,Female,27891,108754,130253,143394,155127,151561,156651,157347,185013,203474,197619,173739,166935,180064,137611,117715,99487,77953,56384,29776,2656748
